date,region,product,category,sales,quantity,customer_id,channel
2026-01-01,华中,SKU-E,长尾,1681.27,8,C-2112,经销商
2026-01-01,华东,SKU-B,核心,13356.45,66,C-2015,经销商
2026-01-01,华中,SKU-B,核心,7768.07,38,C-2180,线下
2026-01-01,西南,SKU-C,常规,4544.44,22,C-2085,经销商
2026-01-01,华北,SKU-B,核心,9952.3,49,C-2079,经销商
2026-01-01,华中,SKU-D,常规,3567.18,17,C-2136,线下
2026-01-01,华东,SKU-A,核心,17209.54,86,C-2010,线下
2026-01-01,华南,SKU-D,常规,4170.34,20,C-2098,线上
2026-01-01,华南,SKU-C,常规,5794.4,28,C-2151,线上
2026-01-01,华南,SKU-B,核心,9880.23,49,C-2088,经销商
2026-01-01,华中,SKU-A,核心,12650.38,63,C-2072,经销商
2026-01-01,西南,SKU-E,长尾,1711.54,8,C-2126,线上
2026-01-01,华东,SKU-E,长尾,2796.24,13,C-2167,线下
2026-01-01,西南,SKU-D,常规,3229.87,16,C-2179,线上
2026-01-01,华南,SKU-E,长尾,2066.04,10,C-2148,经销商
2026-01-01,西南,SKU-A,核心,10170.82,50,C-2030,经销商
2026-01-01,华北,SKU-E,长尾,2354.61,11,C-2053,线下
2026-01-01,华北,SKU-D,常规,4529.8,22,C-2177,线上
2026-01-01,华北,SKU-A,核心,14128.64,70,C-2034,经销商
2026-01-01,华北,SKU-C,常规,6846.84,34,C-2088,线上
2026-01-01,华南,SKU-A,核心,11822.53,59,C-2139,线下
2026-01-01,华中,SKU-C,常规,5666.1,28,C-2158,线上
2026-01-01,西南,SKU-B,核心,6525.39,32,C-2017,线上
2026-01-01,华东,SKU-C,常规,7088.9,35,C-2104,经销商
2026-01-01,华东,SKU-D,常规,5657.27,28,C-2142,经销商
2026-01-02,华东,SKU-B,核心,12891.43,64,C-2155,线下
2026-01-02,华北,SKU-D,常规,4650.35,23,C-2158,线上
2026-01-02,华东,SKU-E,长尾,2738.37,13,C-2047,线上
2026-01-02,西南,SKU-D,常规,2768.04,13,C-2191,线上
2026-01-02,华南,SKU-A,核心,12823.66,64,C-2053,线下
2026-01-02,西南,SKU-C,常规,4637.45,23,C-2136,线下
