date,region,state,city,category,sub_category,product,segment,customer_id,channel,sales,quantity,discount,profit
2016-01-03,Central,Texas,Houston,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Consumer,DP-13000,Standard Class,16.448,2,0.2,5.5512
2016-01-04,Central,Illinois,Naperville,Office Supplies,Labels,Avery 508,Home Office,PO-19195,Standard Class,11.784,3,0.2,4.2717
2016-01-04,Central,Illinois,Naperville,Office Supplies,Storage,SAFCO Boltless Steel Shelving,Home Office,PO-19195,Standard Class,272.736,3,0.2,-64.7748
2016-01-04,Central,Illinois,Naperville,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,Home Office,PO-19195,Standard Class,3.54,2,0.8,-5.487
2016-01-05,East,Pennsylvania,Philadelphia,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Consumer,MB-18085,Standard Class,19.536,3,0.2,4.884
2016-01-06,South,Kentucky,Henderson,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,Home Office,ME-17320,Standard Class,5.48,2,0.0,1.4796
2016-01-06,South,Kentucky,Henderson,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,Home Office,ME-17320,Standard Class,2573.82,9,0.0,746.4078
2016-01-06,South,Kentucky,Henderson,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,Home Office,ME-17320,Standard Class,609.98,2,0.0,274.491
2016-01-06,South,Georgia,Athens,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Corporate,JO-15145,First Class,12.78,3,0.0,5.2398
2016-01-06,South,Kentucky,Henderson,Technology,Phones,GE 30524EE4,Home Office,ME-17320,Standard Class,391.98,2,0.0,113.6742
2016-01-06,South,Kentucky,Henderson,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,Home Office,ME-17320,Standard Class,755.96,4,0.0,204.1092
2016-01-06,South,Kentucky,Henderson,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",Home Office,ME-17320,Standard Class,31.12,4,0.0,0.3112
2016-01-06,South,Kentucky,Henderson,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,Home Office,ME-17320,Standard Class,6.54,1,0.0,3.0084
2016-01-06,West,California,Los Angeles,Office Supplies,Paper,Xerox 225,Consumer,LS-17230,Second Class,19.44,3,0.0,9.3312
2016-01-07,Central,Texas,Huntsville,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Consumer,VS-21820,Standard Class,76.728,3,0.6,-53.7096
2016-01-07,Central,Texas,Huntsville,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Consumer,VS-21820,Standard Class,10.43,7,0.8,-18.2525
